Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
XGBoost,0.9699438952711729,0.8078034682080925,0.858678955453149,0.8324646314221892,0.9943041879186486
AdaBoost,0.958322201442693,0.6828478964401294,0.9723502304147466,0.8022813688212928,0.9942795788820755
LightGBM,0.9700774779588566,0.8172362555720654,0.8448540706605223,0.8308157099697885,0.9942776685915653
Random Forest,0.9690088164573871,0.7938288920056101,0.869431643625192,0.8299120234604106,0.9938618994805134
Logistic Regression,0.9520438151215602,0.6540084388185654,0.9523809523809523,0.7754846779237023,0.9928487712899068
SVM,0.9467005076142132,0.6272727272727273,0.9539170506912442,0.7568555758683729,0.9906381156894406
KNN,0.9406892866684478,0.6109324758842444,0.8755760368663594,0.7196969696969697,0.9462825184820607
